pathway_name,pathway_source,num_overlapping_genes,overlapping_genes,num_all_pathway_genes,P_genes,Q_genes,num_overlapping_metabolites,overlapping_metabolites,num_all_pathway_metabolites,P_metabolites,Q_metabolites,P_joint,Q_joint
Bromfenac Action Pathway,SMPDB,0,,30 (30),1,1,8,HMDB04234;HMDB04238;HMDB10382#HMDB10383#HMDB10404#HMDB10395#HMDB10397;HMDB02752;HMDB02710;HMDB60095;HMDB04236;HMDB0007982#HMDB0007938,66 (72),3.91e-05,0.00293,0.000436,0.00894
Arachidonic Acid Metabolism,SMPDB,0,,30 (30),1,1,8,HMDB04234;HMDB04238;HMDB10382#HMDB10383#HMDB10404#HMDB10395#HMDB10397;HMDB02752;HMDB02710;HMDB60095;HMDB04236;HMDB0007982#HMDB0007938,66 (71),3.91e-05,0.00293,0.000436,0.00894
Leukotriene C4 Synthesis Deficiency,SMPDB,0,,30 (30),1,1,8,HMDB04234;HMDB04238;HMDB10382#HMDB10383#HMDB10404#HMDB10395#HMDB10397;HMDB02752;HMDB02710;HMDB60095;HMDB04236;HMDB0007982#HMDB0007938,66 (71),3.91e-05,0.00293,0.000436,0.00894
Trisalicylate-choline Action Pathway,SMPDB,0,,30 (30),1,1,8,HMDB04234;HMDB04238;HMDB10382#HMDB10383#HMDB10404#HMDB10395#HMDB10397;HMDB02752;HMDB02710;HMDB60095;HMDB04236;HMDB0007982#HMDB0007938,66 (71),3.91e-05,0.00293,0.000436,0.00894
Nepafenac Action Pathway,SMPDB,0,,30 (30),1,1,8,HMDB04234;HMDB04238;HMDB10382#HMDB10383#HMDB10404#HMDB10395#HMDB10397;HMDB02752;HMDB02710;HMDB60095;HMDB04236;HMDB0007982#HMDB0007938,66 (72),3.91e-05,0.00293,0.000436,0.00894
Salsalate Action Pathway,SMPDB,0,,30 (30),1,1,8,HMDB04234;HMDB04238;HMDB10382#HMDB10383#HMDB10404#HMDB10395#HMDB10397;HMDB02752;HMDB02710;HMDB60095;HMDB04236;HMDB0007982#HMDB0007938,66 (72),3.91e-05,0.00293,0.000436,0.00894
Tiaprofenic Acid Action Pathway,SMPDB,0,,30 (30),1,1,8,HMDB04234;HMDB04238;HMDB10382#HMDB10383#HMDB10404#HMDB10395#HMDB10397;HMDB02752;HMDB02710;HMDB60095;HMDB04236;HMDB0007982#HMDB0007938,66 (72),3.91e-05,0.00293,0.000436,0.00894
Tenoxicam Action Pathway,SMPDB,0,,30 (30),1,1,8,HMDB04234;HMDB04238;HMDB10382#HMDB10383#HMDB10404#HMDB10395#HMDB10397;HMDB02752;HMDB02710;HMDB60095;HMDB04236;HMDB0007982#HMDB0007938,67 (72),4.37e-05,0.00293,0.000482,0.00894
Diclofenac Action Pathway,SMPDB,0,,30 (30),1,1,8,HMDB04234;HMDB04238;HMDB10382#HMDB10383#HMDB10404#HMDB10395#HMDB10397;HMDB02752;HMDB02710;HMDB60095;HMDB04236;HMDB0007982#HMDB0007938,67 (72),4.37e-05,0.00293,0.000482,0.00894
Naproxen Action Pathway,SMPDB,0,,30 (30),1,1,8,HMDB04234;HMDB04238;HMDB10382#HMDB10383#HMDB10404#HMDB10395#HMDB10397;HMDB02752;HMDB02710;HMDB60095;HMDB04236;HMDB0007982#HMDB0007938,67 (72),4.37e-05,0.00293,0.000482,0.00894
Phenylbutazone Action Pathway,SMPDB,0,,30 (30),1,1,8,HMDB04234;HMDB04238;HMDB10382#HMDB10383#HMDB10404#HMDB10395#HMDB10397;HMDB02752;HMDB02710;HMDB60095;HMDB04236;HMDB0007982#HMDB0007938,67 (72),4.37e-05,0.00293,0.000482,0.00894
Etodolac Action Pathway,SMPDB,0,,30 (30),1,1,8,HMDB04234;HMDB04238;HMDB10382#HMDB10383#HMDB10404#HMDB10395#HMDB10397;HMDB02752;HMDB02710;HMDB60095;HMDB04236;HMDB0007982#HMDB0007938,67 (72),4.37e-05,0.00293,0.000482,0.00894
Ketoprofen Action Pathway,SMPDB,0,,30 (30),1,1,8,HMDB04234;HMDB04238;HMDB10382#HMDB10383#HMDB10404#HMDB10395#HMDB10397;HMDB02752;HMDB02710;HMDB60095;HMDB04236;HMDB0007982#HMDB0007938,67 (72),4.37e-05,0.00293,0.000482,0.00894
Acetylsalicylic Acid Action Pathway,SMPDB,0,,30 (30),1,1,8,HMDB04234;HMDB04238;HMDB10382#HMDB10383#HMDB10404#HMDB10395#HMDB10397;HMDB02752;HMDB02710;HMDB60095;HMDB04236;HMDB0007982#HMDB0007938,67 (72),4.37e-05,0.00293,0.000482,0.00894
Diflunisal Action Pathway,SMPDB,0,,30 (30),1,1,8,HMDB04234;HMDB04238;HMDB10382#HMDB10383#HMDB10404#HMDB10395#HMDB10397;HMDB02752;HMDB02710;HMDB60095;HMDB04236;HMDB0007982#HMDB0007938,67 (72),4.37e-05,0.00293,0.000482,0.00894
Acetaminophen  Action Pathway,SMPDB,0,,30 (30),1,1,8,HMDB04234;HMDB04238;HMDB10382#HMDB10383#HMDB10404#HMDB10395#HMDB10397;HMDB02752;HMDB02710;HMDB60095;HMDB04236;HMDB0007982#HMDB0007938,67 (72),4.37e-05,0.00293,0.000482,0.00894
Sulindac Action Pathway,SMPDB,0,,30 (30),1,1,8,HMDB04234;HMDB04238;HMDB10382#HMDB10383#HMDB10404#HMDB10395#HMDB10397;HMDB02752;HMDB02710;HMDB60095;HMDB04236;HMDB0007982#HMDB0007938,67 (72),4.37e-05,0.00293,0.000482,0.00894
Ketorolac Action Pathway,SMPDB,0,,30 (30),1,1,8,HMDB04234;HMDB04238;HMDB10382#HMDB10383#HMDB10404#HMDB10395#HMDB10397;HMDB02752;HMDB02710;HMDB60095;HMDB04236;HMDB0007982#HMDB0007938,67 (72),4.37e-05,0.00293,0.000482,0.00894
Etoricoxib Action Pathway,SMPDB,0,,30 (30),1,1,8,HMDB04234;HMDB04238;HMDB10382#HMDB10383#HMDB10404#HMDB10395#HMDB10397;HMDB02752;HMDB02710;HMDB60095;HMDB04236;HMDB0007982#HMDB0007938,67 (72),4.37e-05,0.00293,0.000482,0.00894
Carprofen Action Pathway,SMPDB,0,,30 (30),1,1,8,HMDB04234;HMDB04238;HMDB10382#HMDB10383#HMDB10404#HMDB10395#HMDB10397;HMDB02752;HMDB02710;HMDB60095;HMDB04236;HMDB0007982#HMDB0007938,67 (72),4.37e-05,0.00293,0.000482,0.00894
Fenoprofen Action Pathway,SMPDB,0,,30 (30),1,1,8,HMDB04234;HMDB04238;HMDB10382#HMDB10383#HMDB10404#HMDB10395#HMDB10397;HMDB02752;HMDB02710;HMDB60095;HMDB04236;HMDB0007982#HMDB0007938,67 (72),4.37e-05,0.00293,0.000482,0.00894
Antrafenine Action Pathway,SMPDB,0,,30 (30),1,1,8,HMDB04234;HMDB04238;HMDB10382#HMDB10383#HMDB10404#HMDB10395#HMDB10397;HMDB02752;HMDB02710;HMDB60095;HMDB04236;HMDB0007982#HMDB0007938,67 (72),4.37e-05,0.00293,0.000482,0.00894
Antipyrine Action Pathway,SMPDB,0,,30 (30),1,1,8,HMDB04234;HMDB04238;HMDB10382#HMDB10383#HMDB10404#HMDB10395#HMDB10397;HMDB02752;HMDB02710;HMDB60095;HMDB04236;HMDB0007982#HMDB0007938,67 (72),4.37e-05,0.00293,0.000482,0.00894
Magnesium salicylate Action Pathway,SMPDB,0,,30 (30),1,1,8,HMDB04234;HMDB04238;HMDB10382#HMDB10383#HMDB10404#HMDB10395#HMDB10397;HMDB02752;HMDB02710;HMDB60095;HMDB04236;HMDB0007982#HMDB0007938,67 (72),4.37e-05,0.00293,0.000482,0.00894
Lornoxicam Action Pathway,SMPDB,0,,30 (30),1,1,8,HMDB04234;HMDB04238;HMDB10382#HMDB10383#HMDB10404#HMDB10395#HMDB10397;HMDB02752;HMDB02710;HMDB60095;HMDB04236;HMDB0007982#HMDB0007938,67 (72),4.37e-05,0.00293,0.000482,0.00894
Tolmetin Action Pathway,SMPDB,0,,30 (30),1,1,8,HMDB04234;HMDB04238;HMDB10382#HMDB10383#HMDB10404#HMDB10395#HMDB10397;HMDB02752;HMDB02710;HMDB60095;HMDB04236;HMDB0007982#HMDB0007938,67 (72),4.37e-05,0.00293,0.000482,0.00894
Salicylic Acid Action Pathway,SMPDB,0,,30 (30),1,1,8,HMDB04234;HMDB04238;HMDB10382#HMDB10383#HMDB10404#HMDB10395#HMDB10397;HMDB02752;HMDB02710;HMDB60095;HMDB04236;HMDB0007982#HMDB0007938,67 (72),4.37e-05,0.00293,0.000482,0.00894
Oxaprozin Action Pathway,SMPDB,0,,30 (30),1,1,8,HMDB04234;HMDB04238;HMDB10382#HMDB10383#HMDB10404#HMDB10395#HMDB10397;HMDB02752;HMDB02710;HMDB60095;HMDB04236;HMDB0007982#HMDB0007938,67 (72),4.37e-05,0.00293,0.000482,0.00894
Indomethacin Action Pathway,SMPDB,0,,31 (31),1,1,8,HMDB04234;HMDB04238;HMDB10382#HMDB10383#HMDB10404#HMDB10395#HMDB10397;HMDB02752;HMDB02710;HMDB60095;HMDB04236;HMDB0007982#HMDB0007938,67 (72),4.37e-05,0.00293,0.000482,0.00894
Meloxicam Action Pathway,SMPDB,0,,30 (30),1,1,8,HMDB04234;HMDB04238;HMDB10382#HMDB10383#HMDB10404#HMDB10395#HMDB10397;HMDB02752;HMDB02710;HMDB60095;HMDB04236;HMDB0007982#HMDB0007938,67 (72),4.37e-05,0.00293,0.000482,0.00894
Suprofen Action Pathway,SMPDB,0,,30 (30),1,1,8,HMDB04234;HMDB04238;HMDB10382#HMDB10383#HMDB10404#HMDB10395#HMDB10397;HMDB02752;HMDB02710;HMDB60095;HMDB04236;HMDB0007982#HMDB0007938,67 (72),4.37e-05,0.00293,0.000482,0.00894
Mefenamic Acid Action Pathway,SMPDB,0,,30 (30),1,1,8,HMDB04234;HMDB04238;HMDB10382#HMDB10383#HMDB10404#HMDB10395#HMDB10397;HMDB02752;HMDB02710;HMDB60095;HMDB04236;HMDB0007982#HMDB0007938,67 (72),4.37e-05,0.00293,0.000482,0.00894
Piroxicam Action Pathway,SMPDB,0,,30 (30),1,1,8,HMDB04234;HMDB04238;HMDB10382#HMDB10383#HMDB10404#HMDB10395#HMDB10397;HMDB02752;HMDB02710;HMDB60095;HMDB04236;HMDB0007982#HMDB0007938,67 (72),4.37e-05,0.00293,0.000482,0.00894
Glucose Homeostasis,Wikipathways,0,,1 (1),1,1,5,HMDB0000714;HMDB00158;HMDB00172;HMDB00517;HMDB00138,21 (21),4.54e-05,0.00299,0.000499,0.0091
visceral fat deposits and the metabolic syndrome,BioCarta,2,RETN;HSD11B1,8 (8),0.00116,0.559,1,HMDB00063,2 (3),0.0402,0.639,0.000511,0.00918
Celecoxib Action Pathway,SMPDB,0,,36 (36),1,1,8,HMDB04234;HMDB04238;HMDB10382#HMDB10383#HMDB10404#HMDB10395#HMDB10397;HMDB02752;HMDB02710;HMDB60095;HMDB04236;HMDB0007982#HMDB0007938,70 (76),6.04e-05,0.00392,0.000647,0.0114
Metabolism of amino acids and derivatives,Reactome,1,DDC,339 (339),0.895,1,14,HMDB00641;HMDB01552;HMDB00517;HMDB00562;HMDB06831;HMDB00172;HMDB00929;HMDB00162;HMDB00158;HMDB00092;HMDB00043;HMDB00191;HMDB01325;HMDB00687,222 (286),8.23e-05,0.00517,0.000775,0.0135
MTHFR deficiency,Wikipathways,0,,10 (10),1,1,4,HMDB00043;HMDB13464;HMDB00092;HMDB0007982#HMDB0007938,14 (21),0.000131,0.00796,0.0013,0.0223
Oligodendrocyte specification and differentiation_ leading to myelin components for CNS,Wikipathways,0,,0 (0),1,1,3,HMDB13464;HMDB10164;HMDB0007982#HMDB0007938,8 (11),0.000412,0.0224,0.000412,0.0224
Signaling by GPCR,Reactome,6,LHB;ADM;CRH;CXCL12;TSHB;CCL28,706 (706),0.316,1,10,HMDB10382#HMDB10383#HMDB10404#HMDB10395#HMDB10397;HMDB00517;HMDB0000619;HMDB0007982#HMDB0007938;HMDB01388;HMDB00277;HMDB0000518;HMDB10164;HMDB01999;HMDB00895,142 (190),0.000429,0.023,0.00135,0.0228
Regulation of lipid metabolism by PPARalpha,Reactome,0,,20 (20),1,1,3,HMDB01388;HMDB00673;HMDB01999,6 (7),0.000152,0.0091,0.00148,0.0248
sphingomyelin metabolism/ceramide salvage,HumanCyc,1,SMPD1,8 (8),0.0512,1,4,HMDB01388;HMDB00673;HMDB01999;HMDB0007982#HMDB0007938,31 (55),0.00318,0.125,0.00158,0.0259
Mineral absorption - Homo sapiens (human),KEGG,0,,59 (59),1,1,5,HMDB00641;HMDB00162;HMDB00172;HMDB00687;HMDB00929,27 (29),0.000164,0.00971,0.00159,0.0259
Fatty acid metabolism,Reactome,0,,176 (177),1,1,12,HMDB00201;HMDB10382#HMDB10383#HMDB10404#HMDB10395#HMDB10397;HMDB04238;HMDB00824;HMDB02752;HMDB02710;HMDB60095;HMDB04236;HMDB01388;HMDB04234;HMDB00673;HMDB0007982#HMDB0007938,182 (257),0.000195,0.0114,0.00186,0.0298
Intestinal immune network for IgA production - Homo sapiens (human),KEGG,4,CXCL12;CD28;CCL28;TNFSF13,47 (49),0.000247,0.386,0,,2 (2),1,1,0.0023,0.0364
Signal Transduction,Reactome,17,RET;LHB;ADM;CXCL12;CD28;HGF;PGF;TNFRSF10A;CRH;ERBB3;GFRA2;TSHB;TFF3;CKAP4;B4GALT1;CCL28;LEPR,2431 (2432),0.425,1,12,HMDB10382#HMDB10383#HMDB10404#HMDB10395#HMDB10397;HMDB00517;HMDB0000619;HMDB00063;HMDB01388;HMDB00277;HMDB0000518;HMDB0007982#HMDB0007938;HMDB13464;HMDB10164;HMDB01999;HMDB00895,206 (290),0.000623,0.033,0.00245,0.0382
Arachidonic acid metabolism - Homo sapiens (human),KEGG,0,,61 (61),1,1,7,HMDB04234;HMDB04238;HMDB02752;HMDB02710;HMDB60095;HMDB0007982#HMDB0007938;HMDB04236,66 (75),0.000294,0.0169,0.00269,0.0414
ABC transporters - Homo sapiens (human),KEGG,0,,45 (45),1,1,8,HMDB00641;HMDB00162;HMDB00517;HMDB06831;HMDB00172;HMDB00191;HMDB00043;HMDB00687,88 (138),0.00031,0.0176,0.00282,0.0428
Glycine_ serine and threonine metabolism - Homo sapiens (human),KEGG,1,AOC3,40 (40),0.231,1,5,HMDB00191;HMDB10164;HMDB00929;HMDB00092;HMDB00043,42 (50),0.00137,0.0607,0.00287,0.0432
Arachidonic acid metabolism,Reactome,0,,60 (60),1,1,8,HMDB04234;HMDB04238;HMDB10382#HMDB10383#HMDB10404#HMDB10395#HMDB10397;HMDB02752;HMDB02710;HMDB60095;HMDB04236;HMDB0007982#HMDB0007938,89 (114),0.000336,0.0188,0.00302,0.0448
Alpha Linolenic Acid and Linoleic Acid Metabolism,SMPDB,0,,6 (6),1,1,4,HMDB01388;HMDB00673;HMDB01999;HMDB0007982#HMDB0007938,18 (18),0.000376,0.0207,0.00334,0.0489
Biogenic Amine Synthesis,Wikipathways,1,DDC,15 (15),0.0939,1,3,HMDB00158;HMDB00895;HMDB00929,17 (18),0.0044,0.17,0.00363,0.0525
Extrinsic Pathway of Fibrin Clot Formation,Reactome,2,F7;TFPI,5 (5),0.000419,0.49,0,,1 (1),1,1,0.00368,0.0525
Serotonergic synapse - Homo sapiens (human),KEGG,1,DDC,113 (115),0.526,1,5,HMDB02752;HMDB04236;HMDB02710;HMDB60095;HMDB00929,39 (42),0.000972,0.044,0.00438,0.0619
Sudden Infant Death Syndrome (SIDS) Susceptibility Pathways,Wikipathways,2,RET;DDC,159 (159),0.28,1,3,HMDB00158;HMDB00895;HMDB00929,13 (15),0.00196,0.083,0.00466,0.065
Post-translational protein phosphorylation,Reactome,5,VWA1;PCSK9;CKAP4;IGFBP3;AFP,107 (107),0.000677,0.559,0,,2 (2),1,1,0.00562,0.0774
retinol biosynthesis,HumanCyc,0,,19 (19),1,1,4,HMDB01388;HMDB00673;HMDB01999;HMDB0007982#HMDB0007938,21 (37),0.000703,0.0366,0.0058,0.079
Cellular responses to stress,Reactome,0,,553 (554),1,1,6,HMDB00517;HMDB01830;HMDB01388;HMDB00673;HMDB00063;HMDB01999,55 (74),0.00071,0.0366,0.00586,0.079
ADORA2B mediated anti-inflammatory cytokines production,Reactome,4,CRH;TSHB;LHB;ADM,132 (132),0.011,1,2,HMDB0000619;HMDB0000518,22 (22),0.0722,0.946,0.00646,0.0861
Neuroactive ligand-receptor interaction - Homo sapiens (human),KEGG,5,CRH;LEPR;LHB;TSHB;ADM,341 (341),0.073,1,4,HMDB00277;HMDB00191;HMDB00895;HMDB00063,44 (52),0.0113,0.287,0.00668,0.088
Glutamate and glutamine metabolism,Reactome,0,,15 (15),1,1,4,HMDB00641;HMDB00191;HMDB00162;HMDB01552,22 (24),0.000846,0.0431,0.00683,0.089
Cellular responses to external stimuli,Reactome,0,,568 (569),1,1,6,HMDB00517;HMDB01830;HMDB01388;HMDB00673;HMDB00063;HMDB01999,57 (76),0.000862,0.0434,0.00694,0.0894
tryptophan degradation X (mammalian_ via tryptamine),HumanCyc,1,DDC,4 (4),0.0259,1,2,HMDB00197;HMDB00929,15 (15),0.0359,0.625,0.00743,0.0894
27-Hydroxylase Deficiency,SMPDB,0,,17 (17),1,1,6,HMDB03533;HMDB0000619;HMDB00359;HMDB0000518;HMDB00138;HMDB12453,58 (64),0.000947,0.0438,0.00754,0.0894
