Dataset,Feature,Name
Lipidome,TAG46.2.FA16.1,TAG46:2-FA16:1
Lipidome,TAG46.2.FA18.1,TAG46:2-FA18:1
Lipidome,TAG46.2.FA18.2,TAG46:2-FA18:2
Lipidome,TAG46.3.FA12.0,TAG46:3-FA12:0
Lipidome,TAG46.3.FA14.0,TAG46:3-FA14:0
Lipidome,TAG46.3.FA14.1,TAG46:3-FA14:1
Lipidome,TAG46.3.FA16.0,TAG46:3-FA16:0
Lipidome,TAG46.3.FA16.1,TAG46:3-FA16:1
Lipidome,TAG46.3.FA18.1,TAG46:3-FA18:1
Lipidome,TAG46.3.FA18.2,TAG46:3-FA18:2
Lipidome,TAG46.4.FA18.2,TAG46:4-FA18:2
Lipidome,TAG47.0.FA15.0,TAG47:0-FA15:0
Lipidome,TAG47.0.FA16.0,TAG47:0-FA16:0
Lipidome,TAG47.0.FA17.0,TAG47:0-FA17:0
Lipidome,TAG47.1.FA14.0,TAG47:1-FA14:0
Lipidome,TAG47.1.FA15.0,TAG47:1-FA15:0
Lipidome,TAG47.1.FA16.0,TAG47:1-FA16:0
Lipidome,TAG47.1.FA16.1,TAG47:1-FA16:1
Lipidome,TAG47.1.FA18.1,TAG47:1-FA18:1
Lipidome,TAG47.2.FA14.0,TAG47:2-FA14:0
Lipidome,TAG47.2.FA15.0,TAG47:2-FA15:0
Lipidome,TAG47.2.FA16.1,TAG47:2-FA16:1
Lipidome,TAG47.2.FA18.1,TAG47:2-FA18:1
Lipidome,TAG47.2.FA18.2,TAG47:2-FA18:2
Lipidome,TAG48.0.FA14.0,TAG48:0-FA14:0
Lipidome,TAG48.0.FA16.0,TAG48:0-FA16:0
Lipidome,TAG48.0.FA18.0,TAG48:0-FA18:0
Lipidome,TAG48.1.FA12.0,TAG48:1-FA12:0
Lipidome,TAG48.1.FA14.0,TAG48:1-FA14:0
Lipidome,TAG48.1.FA14.1,TAG48:1-FA14:1
Lipidome,TAG48.1.FA16.0,TAG48:1-FA16:0
Lipidome,TAG48.1.FA16.1,TAG48:1-FA16:1
Lipidome,TAG48.1.FA18.0,TAG48:1-FA18:0
Lipidome,TAG48.1.FA18.1,TAG48:1-FA18:1
Lipidome,TAG48.2.FA12.0,TAG48:2-FA12:0
Lipidome,TAG48.2.FA14.0,TAG48:2-FA14:0
Lipidome,TAG48.2.FA14.1,TAG48:2-FA14:1
Lipidome,TAG48.2.FA16.0,TAG48:2-FA16:0
Lipidome,TAG48.2.FA16.1,TAG48:2-FA16:1
Lipidome,TAG48.2.FA18.0,TAG48:2-FA18:0
Lipidome,TAG48.2.FA18.1,TAG48:2-FA18:1
Lipidome,TAG48.2.FA18.2,TAG48:2-FA18:2
Lipidome,TAG48.3.FA12.0,TAG48:3-FA12:0
Lipidome,TAG48.3.FA14.0,TAG48:3-FA14:0
Lipidome,TAG48.3.FA14.1,TAG48:3-FA14:1
Lipidome,TAG48.3.FA16.0,TAG48:3-FA16:0
Lipidome,TAG48.3.FA16.1,TAG48:3-FA16:1
Lipidome,TAG48.3.FA18.1,TAG48:3-FA18:1
Lipidome,TAG48.3.FA18.2,TAG48:3-FA18:2
Lipidome,TAG48.3.FA18.3,TAG48:3-FA18:3
Lipidome,TAG48.4.FA12.0,TAG48:4-FA12:0
Lipidome,TAG48.4.FA14.0,TAG48:4-FA14:0
Lipidome,TAG48.4.FA14.1,TAG48:4-FA14:1
Lipidome,TAG48.4.FA16.0,TAG48:4-FA16:0
Lipidome,TAG48.4.FA16.1,TAG48:4-FA16:1
Lipidome,TAG48.4.FA18.1,TAG48:4-FA18:1
Lipidome,TAG48.4.FA18.2,TAG48:4-FA18:2
Lipidome,TAG48.4.FA18.3,TAG48:4-FA18:3
Lipidome,TAG48.5.FA18.2,TAG48:5-FA18:2
Lipidome,TAG49.0.FA15.0,TAG49:0-FA15:0
Lipidome,TAG49.0.FA16.0,TAG49:0-FA16:0
Lipidome,TAG49.0.FA17.0,TAG49:0-FA17:0
Lipidome,TAG49.0.FA18.0,TAG49:0-FA18:0
Lipidome,TAG49.1.FA14.0,TAG49:1-FA14:0
Lipidome,TAG49.1.FA15.0,TAG49:1-FA15:0
Lipidome,TAG49.1.FA16.0,TAG49:1-FA16:0
Lipidome,TAG49.1.FA16.1,TAG49:1-FA16:1
Lipidome,TAG49.1.FA17.0,TAG49:1-FA17:0
Lipidome,TAG49.1.FA18.1,TAG49:1-FA18:1
Lipidome,TAG49.2.FA14.0,TAG49:2-FA14:0
Lipidome,TAG49.2.FA15.0,TAG49:2-FA15:0
Lipidome,TAG49.2.FA16.0,TAG49:2-FA16:0
Lipidome,TAG49.2.FA16.1,TAG49:2-FA16:1
Lipidome,TAG49.2.FA17.0,TAG49:2-FA17:0
Lipidome,TAG49.2.FA18.1,TAG49:2-FA18:1
Lipidome,TAG49.2.FA18.2,TAG49:2-FA18:2
Lipidome,TAG49.3.FA15.0,TAG49:3-FA15:0
Lipidome,TAG49.3.FA16.0,TAG49:3-FA16:0
Lipidome,TAG49.3.FA16.1,TAG49:3-FA16:1
Lipidome,TAG49.3.FA18.2,TAG49:3-FA18:2
Lipidome,TAG49.3.FA18.3,TAG49:3-FA18:3
Lipidome,TAG50.0.FA14.0,TAG50:0-FA14:0
Lipidome,TAG50.0.FA16.0,TAG50:0-FA16:0
Lipidome,TAG50.0.FA18.0,TAG50:0-FA18:0
Lipidome,TAG50.1.FA14.0,TAG50:1-FA14:0
Lipidome,TAG50.1.FA16.0,TAG50:1-FA16:0
Lipidome,TAG50.1.FA16.1,TAG50:1-FA16:1
Lipidome,TAG50.1.FA18.0,TAG50:1-FA18:0
Lipidome,TAG50.1.FA18.1,TAG50:1-FA18:1
Lipidome,TAG50.1.FA20.1,TAG50:1-FA20:1
Lipidome,TAG50.2.FA14.0,TAG50:2-FA14:0
Lipidome,TAG50.2.FA14.1,TAG50:2-FA14:1
Lipidome,TAG50.2.FA16.0,TAG50:2-FA16:0
Lipidome,TAG50.2.FA16.1,TAG50:2-FA16:1
Lipidome,TAG50.2.FA18.0,TAG50:2-FA18:0
Lipidome,TAG50.2.FA18.1,TAG50:2-FA18:1
Lipidome,TAG50.2.FA18.2,TAG50:2-FA18:2
Lipidome,TAG50.2.FA20.2,TAG50:2-FA20:2
Lipidome,TAG50.3.FA14.0,TAG50:3-FA14:0
Lipidome,TAG50.3.FA14.1,TAG50:3-FA14:1
Lipidome,TAG50.3.FA16.0,TAG50:3-FA16:0
Lipidome,TAG50.3.FA16.1,TAG50:3-FA16:1
Lipidome,TAG50.3.FA18.0,TAG50:3-FA18:0
Lipidome,TAG50.3.FA18.1,TAG50:3-FA18:1
Lipidome,TAG50.3.FA18.2,TAG50:3-FA18:2
Lipidome,TAG50.3.FA18.3,TAG50:3-FA18:3
Lipidome,TAG50.3.FA20.3,TAG50:3-FA20:3
Lipidome,TAG50.4.FA14.0,TAG50:4-FA14:0
Lipidome,TAG50.4.FA14.1,TAG50:4-FA14:1
Lipidome,TAG50.4.FA16.0,TAG50:4-FA16:0
Lipidome,TAG50.4.FA16.1,TAG50:4-FA16:1
Lipidome,TAG50.4.FA18.1,TAG50:4-FA18:1
Lipidome,TAG50.4.FA18.2,TAG50:4-FA18:2
Lipidome,TAG50.4.FA18.3,TAG50:4-FA18:3
Lipidome,TAG50.4.FA20.3,TAG50:4-FA20:3
Lipidome,TAG50.4.FA20.4,TAG50:4-FA20:4
Lipidome,TAG50.5.FA14.0,TAG50:5-FA14:0
Lipidome,TAG50.5.FA16.0,TAG50:5-FA16:0
Lipidome,TAG50.5.FA16.1,TAG50:5-FA16:1
Lipidome,TAG50.5.FA18.1,TAG50:5-FA18:1
Lipidome,TAG50.5.FA18.2,TAG50:5-FA18:2
Lipidome,TAG50.5.FA18.3,TAG50:5-FA18:3
Lipidome,TAG50.5.FA20.4,TAG50:5-FA20:4
Lipidome,TAG51.0.FA16.0,TAG51:0-FA16:0
Lipidome,TAG51.0.FA17.0,TAG51:0-FA17:0
Lipidome,TAG51.0.FA18.0,TAG51:0-FA18:0
Lipidome,TAG51.1.FA15.0,TAG51:1-FA15:0
Lipidome,TAG51.1.FA16.0,TAG51:1-FA16:0
Lipidome,TAG51.1.FA17.0,TAG51:1-FA17:0
Lipidome,TAG51.1.FA18.0,TAG51:1-FA18:0
Lipidome,TAG51.1.FA18.1,TAG51:1-FA18:1
Lipidome,TAG51.2.FA15.0,TAG51:2-FA15:0
Lipidome,TAG51.2.FA16.0,TAG51:2-FA16:0
Lipidome,TAG51.2.FA16.1,TAG51:2-FA16:1
Lipidome,TAG51.2.FA17.0,TAG51:2-FA17:0
Lipidome,TAG51.2.FA18.1,TAG51:2-FA18:1
Lipidome,TAG51.2.FA18.2,TAG51:2-FA18:2
Lipidome,TAG51.3.FA15.0,TAG51:3-FA15:0
Lipidome,TAG51.3.FA16.1,TAG51:3-FA16:1
Lipidome,TAG51.3.FA17.0,TAG51:3-FA17:0
Lipidome,TAG51.3.FA18.2,TAG51:3-FA18:2
Lipidome,TAG51.3.FA18.3,TAG51:3-FA18:3
Lipidome,TAG51.4.FA15.0,TAG51:4-FA15:0
Lipidome,TAG51.4.FA16.1,TAG51:4-FA16:1
Lipidome,TAG51.4.FA18.2,TAG51:4-FA18:2
Lipidome,TAG51.4.FA18.3,TAG51:4-FA18:3
Lipidome,TAG51.4.FA20.4,TAG51:4-FA20:4
Lipidome,TAG51.5.FA18.2,TAG51:5-FA18:2
Lipidome,TAG51.5.FA18.3,TAG51:5-FA18:3
Lipidome,TAG52.0.FA16.0,TAG52:0-FA16:0
Lipidome,TAG52.0.FA18.0,TAG52:0-FA18:0
Lipidome,TAG52.0.FA20.0,TAG52:0-FA20:0
Lipidome,TAG52.1.FA16.0,TAG52:1-FA16:0
Lipidome,TAG52.1.FA16.1,TAG52:1-FA16:1
Lipidome,TAG52.1.FA18.0,TAG52:1-FA18:0
Lipidome,TAG52.1.FA18.1,TAG52:1-FA18:1
Lipidome,TAG52.1.FA20.0,TAG52:1-FA20:0
Lipidome,TAG52.1.FA20.1,TAG52:1-FA20:1
Lipidome,TAG52.2.FA14.0,TAG52:2-FA14:0
Lipidome,TAG52.2.FA16.0,TAG52:2-FA16:0
Lipidome,TAG52.2.FA16.1,TAG52:2-FA16:1
Lipidome,TAG52.2.FA18.0,TAG52:2-FA18:0
Lipidome,TAG52.2.FA18.1,TAG52:2-FA18:1
Lipidome,TAG52.2.FA18.2,TAG52:2-FA18:2
Lipidome,TAG52.2.FA20.0,TAG52:2-FA20:0
Lipidome,TAG52.2.FA20.1,TAG52:2-FA20:1
Lipidome,TAG52.2.FA20.2,TAG52:2-FA20:2
Lipidome,TAG52.3.FA14.0,TAG52:3-FA14:0
Lipidome,TAG52.3.FA16.0,TAG52:3-FA16:0
Lipidome,TAG52.3.FA16.1,TAG52:3-FA16:1
Lipidome,TAG52.3.FA18.0,TAG52:3-FA18:0
Lipidome,TAG52.3.FA18.1,TAG52:3-FA18:1
Lipidome,TAG52.3.FA18.2,TAG52:3-FA18:2
Lipidome,TAG52.3.FA18.3,TAG52:3-FA18:3
Lipidome,TAG52.3.FA20.0,TAG52:3-FA20:0
Lipidome,TAG52.3.FA20.1,TAG52:3-FA20:1
Lipidome,TAG52.3.FA20.2,TAG52:3-FA20:2
Lipidome,TAG52.3.FA20.3,TAG52:3-FA20:3
Lipidome,TAG52.3.FA22.1,TAG52:3-FA22:1
Lipidome,TAG52.4.FA14.0,TAG52:4-FA14:0
Lipidome,TAG52.4.FA16.0,TAG52:4-FA16:0
Lipidome,TAG52.4.FA16.1,TAG52:4-FA16:1
Lipidome,TAG52.4.FA18.0,TAG52:4-FA18:0
Lipidome,TAG52.4.FA18.1,TAG52:4-FA18:1
Lipidome,TAG52.4.FA18.2,TAG52:4-FA18:2
Lipidome,TAG52.4.FA18.3,TAG52:4-FA18:3
Lipidome,TAG52.4.FA20.0,TAG52:4-FA20:0
Lipidome,TAG52.4.FA20.2,TAG52:4-FA20:2
Lipidome,TAG52.4.FA20.3,TAG52:4-FA20:3
Lipidome,TAG52.4.FA20.4,TAG52:4-FA20:4
Lipidome,TAG52.4.FA22.1,TAG52:4-FA22:1
Lipidome,TAG52.4.FA22.4,TAG52:4-FA22:4
Lipidome,TAG52.5.FA14.0,TAG52:5-FA14:0
Lipidome,TAG52.5.FA16.0,TAG52:5-FA16:0
Lipidome,TAG52.5.FA16.1,TAG52:5-FA16:1
Lipidome,TAG52.5.FA18.1,TAG52:5-FA18:1
Lipidome,TAG52.5.FA18.2,TAG52:5-FA18:2
Lipidome,TAG52.5.FA18.3,TAG52:5-FA18:3
Lipidome,TAG52.5.FA20.3,TAG52:5-FA20:3
Lipidome,TAG52.5.FA20.4,TAG52:5-FA20:4
Lipidome,TAG52.5.FA20.5,TAG52:5-FA20:5
Lipidome,TAG52.5.FA22.5,TAG52:5-FA22:5
Lipidome,TAG52.6.FA14.0,TAG52:6-FA14:0
Lipidome,TAG52.6.FA16.0,TAG52:6-FA16:0
Lipidome,TAG52.6.FA16.1,TAG52:6-FA16:1
Lipidome,TAG52.6.FA18.1,TAG52:6-FA18:1
Lipidome,TAG52.6.FA18.2,TAG52:6-FA18:2
Lipidome,TAG52.6.FA18.3,TAG52:6-FA18:3
Lipidome,TAG52.6.FA20.4,TAG52:6-FA20:4
Lipidome,TAG52.6.FA20.5,TAG52:6-FA20:5
Lipidome,TAG52.6.FA22.6,TAG52:6-FA22:6
Lipidome,TAG52.7.FA16.0,TAG52:7-FA16:0
Lipidome,TAG52.7.FA18.1,TAG52:7-FA18:1
Lipidome,TAG52.7.FA22.6,TAG52:7-FA22:6
Lipidome,TAG52.8.FA16.1,TAG52:8-FA16:1
Lipidome,TAG52.8.FA18.2,TAG52:8-FA18:2
Lipidome,TAG53.0.FA16.0,TAG53:0-FA16:0
Lipidome,TAG53.1.FA16.0,TAG53:1-FA16:0
Lipidome,TAG53.1.FA17.0,TAG53:1-FA17:0
Lipidome,TAG53.1.FA18.0,TAG53:1-FA18:0
Lipidome,TAG53.1.FA18.1,TAG53:1-FA18:1
Lipidome,TAG53.2.FA16.0,TAG53:2-FA16:0
Lipidome,TAG53.2.FA17.0,TAG53:2-FA17:0
Lipidome,TAG53.2.FA18.1,TAG53:2-FA18:1
Lipidome,TAG53.2.FA18.2,TAG53:2-FA18:2
Lipidome,TAG53.3.FA16.0,TAG53:3-FA16:0
Lipidome,TAG53.3.FA17.0,TAG53:3-FA17:0
Lipidome,TAG53.3.FA18.2,TAG53:3-FA18:2
Lipidome,TAG53.4.FA16.0,TAG53:4-FA16:0
Lipidome,TAG53.4.FA17.0,TAG53:4-FA17:0
Lipidome,TAG53.4.FA18.2,TAG53:4-FA18:2
Lipidome,TAG53.4.FA18.3,TAG53:4-FA18:3
Lipidome,TAG53.4.FA20.4,TAG53:4-FA20:4
Lipidome,TAG53.5.FA20.4,TAG53:5-FA20:4
Lipidome,TAG53.6.FA20.4,TAG53:6-FA20:4
Lipidome,TAG54.0.FA16.0,TAG54:0-FA16:0
Lipidome,TAG54.0.FA18.0,TAG54:0-FA18:0
Lipidome,TAG54.1.FA16.0,TAG54:1-FA16:0
Lipidome,TAG54.1.FA18.0,TAG54:1-FA18:0
Lipidome,TAG54.1.FA18.1,TAG54:1-FA18:1
Lipidome,TAG54.1.FA20.0,TAG54:1-FA20:0
Lipidome,TAG54.1.FA20.1,TAG54:1-FA20:1
Lipidome,TAG54.2.FA16.0,TAG54:2-FA16:0
Lipidome,TAG54.2.FA18.0,TAG54:2-FA18:0
Lipidome,TAG54.2.FA18.1,TAG54:2-FA18:1
Lipidome,TAG54.2.FA18.2,TAG54:2-FA18:2
Lipidome,TAG54.2.FA20.0,TAG54:2-FA20:0
Lipidome,TAG54.2.FA20.1,TAG54:2-FA20:1
Lipidome,TAG54.2.FA20.2,TAG54:2-FA20:2
Lipidome,TAG54.3.FA16.0,TAG54:3-FA16:0
Lipidome,TAG54.3.FA16.1,TAG54:3-FA16:1
Lipidome,TAG54.3.FA18.0,TAG54:3-FA18:0
Lipidome,TAG54.3.FA18.1,TAG54:3-FA18:1
Lipidome,TAG54.3.FA18.2,TAG54:3-FA18:2
Lipidome,TAG54.3.FA18.3,TAG54:3-FA18:3
Lipidome,TAG54.3.FA20.1,TAG54:3-FA20:1
Lipidome,TAG54.3.FA20.2,TAG54:3-FA20:2
Lipidome,TAG54.3.FA20.3,TAG54:3-FA20:3
