Analyte ID,m/z,Mode,Analyte Name,Formula,KEGG ID,HMDB ID,MSI Confidence Level
162.0761_14.18,162.0761,pHILIC,"Aminoadipic acid|Acetylhomoserine|(ª)-2,2'-Iminobispropanoic acid|Glutamate, gamma-methyl ester|O-Acetylhomoserine|(ª)-2,2'-Iminobispropanoic acid|2s,3r-2-Amino-3-Methylpentanedioic Acid|(3r)-3-Methyl-L-Glutamic Acid|Aminoadipic acid",C6H11NO4,C00956||C03210||||||C00956,HMDB00510|HMDB29423|HMDB33747|HMDB61715|||||,NA
130.0864_16.19,130.0864,pHILIC,Lysine fragment ,NA,NA,NA,NA
191.1027_10.58,191.1027,pHILIC,Diaminopimelic acid,C7H14N2O4,C00666,HMDB01370,2
251.0404_10.23,251.0404,pHILIC,0,0,0,0,0
170.0925_8.65,170.0925,pHILIC,1-Methylhistidine,C7H11N3O2,C01152,HMDB00001,1
198.0761_7.93,198.0761,pHILIC,0,0,0,0,0
165.0547_7.89,165.0547,pHILIC,Tyrosine,NA,NA,NA,NA
446.217_0.9,446.217,pHILIC,0,0,0,0,0
489.2269_0.96,489.2269,pHILIC,0,0,0,0,0
121.1012_0.94,121.1012,pHILIC,0,0,0,0,0
123.1168_0.94,123.1168,pHILIC,0,0,0,0,0
249.1121_0.94,249.1121,pHILIC,0,0,0,0,0
127.039_0.93,127.039,pHILIC,0,0,0,0,0
105.0699_0.93,105.0699,pHILIC,0,0,0,0,0
330.3002_0.96,330.3002,pHILIC,0,0,0,0,0
318.2275_0.92,318.2275,pHILIC,0,0,0,0,0
280.2635_0.93,280.2635,pHILIC,0,0,0,0,0
332.2431_0.96,332.2431,pHILIC,0,0,0,0,0
321.1162_0.97,321.1162,pHILIC,NA,NA,NA,NA,NA
177.1022_0.98,177.1022,pHILIC,0,0,0,0,0
295.1651_1.06,295.1651,pHILIC,0,0,0,0,0
255.2317_1.07,255.2317,pHILIC,0,0,0,0,0
207.1743_1.09,207.1743,pHILIC,0,0,0,0,0
579.4987_1.09,579.4987,pHILIC,"DG(15:0/18:2(9Z,12Z)/0:0)|DG(18:2(9Z,12Z)/15:0/0:0)|DG(14:0/0:0/18:2n6)|DG(14:0/0:0/20:2n6)",C36H66O5,0,0,NA
700.5713_1.14,700.5713,pHILIC,0,0,0,0,0
281.2474_1.97,281.2474,pHILIC,"Linoleic acid|Bovinic acid|9E,11E-Octadecadienoic acid|10E,12Z-Octadecadienoic acid|Linoelaidic acid|Mangiferic acid|Linalyl caprylate|Ethyl 2E,4Z-hexadecadienoate|5-Octadecynoic acid|Malvalic acid|(10E,12Z)-octadeca-10,12-dienoic acid",C18H32O2,C01595|C04056|||||||||,HMDB00673|HMDB03797|HMDB05047|HMDB05048|HMDB06270|HMDB29800|HMDB30430|HMDB31051|HMDB31097||,NA
251.2004_2.14,251.2004,pHILIC,0,NA,0,0,NA
115.0866_2.24,115.0866,pHILIC,0,0,0,0,0
190.0498_2.35,190.0498,pHILIC,0,0,0,0,0
752.5584_2.51,752.5584,pHILIC,0,0,0,0,0
447.3465_2.52,447.3465,pHILIC,0,0,0,0,0
154.0499_1.18,154.0499,pHILIC,NA,NA,NA,NA,NA
114.0663_2.97,114.0663,pHILIC,Creatinine,C4H7N3O,C00791,HMDB00562,1
295.2267_1.09,295.2267,pHILIC,0,0,0,0,0
718.5383_3.78,718.5383,pHILIC,0,0,0,0,0
792.5542_4.25,792.5542,pHILIC,Lipids PC(37:6),NA,NA,NA,NA
871.6803_4.21,871.6803,pHILIC,Lipid,NA,0,0,NA
776.5593_4.23,776.5593,pHILIC,0,0,0,0,0
852.6819_4.37,852.6819,pHILIC,0,0,0,0,0
864.644_4.39,864.644,pHILIC,0,0,0,0,0
742.5392_4.48,742.5392,pHILIC,Lipids ,C41H76NO8P,0,0,NA
790.5747_4.56,790.5747,pHILIC,Lipids PC(P-38:6),NA,NA,NA,NA
790.5592_4.63,790.5592,pHILIC,0,0,0,0,0
838.5588_4.62,838.5588,pHILIC,0,0,0,0,0
838.6309_4.64,838.6309,pHILIC,PC(38:4),NA,0,0,NA
822.6377_4.63,822.6377,pHILIC,PC(40:4),NA,0,0,NA
770.5697_4.71,770.5697,pHILIC,0,0,0,0,0
744.5908_4.74,744.5908,pHILIC,Lipids PC(P-34:1),NA,0,0,NA
744.5549_4.76,744.5549,pHILIC,Lipids PC(33:2),NA,NA,NA,NA
828.5525_4.82,828.5525,pHILIC,PC(40:8),NA,0,0,NA
772.5848_4.89,772.5848,pHILIC,Lipids PC(35:2),NA,NA,NA,NA
790.5591_4.93,790.5591,pHILIC,0,0,0,0,0
840.5724_5.06,840.5724,pHILIC,0,0,0,0,0
787.6681_5.49,787.6681,pHILIC,SM(40:1),NA,0,0,NA
759.6369_5.51,759.6369,pHILIC,SM(38:1),NA,0,0,NA
731.6062_5.53,731.6062,pHILIC,SM(36:1),NA,0,0,NA
647.5123_5.62,647.5123,pHILIC,Lipids SM(d18:1/12:0),NA,C00550,HMDB12096,NA
801.6844_5.47,801.6844,pHILIC,SM(41:1),NA,0,0,NA
310.2011_5.76,310.2011,pHILIC,C10:3 AC (Decatrenoylcarnitine),C17H27NO4,NA,NA,2
572.371_5.78,572.371,pHILIC,LysoPC(22:4),C30H54NO7P,C04230,HMDB10401,2
192.0654_6.32,192.0654,pHILIC,NA,NA,NA,NA,NA
246.1699_6.3,246.1699,pHILIC,C5:0 AC (2-methylbutyrylcarnitine|isovalerylcarnitine),C12H23NO4,NA,HMDB00378|HMDB00688,2
225.1233_6.42,225.1233,pHILIC,0,0,0,0,0
595.3489_6.62,595.3489,pHILIC,0,0,0,0,0
145.076_6.73,145.076,pHILIC,0,0,0,0,0
282.1195_6.77,282.1195,pHILIC,Methyladenosine,C11H15N5O4,C02494,HMDB03331|,3
219.0764_6.73,219.0764,pHILIC,0,0,0,0,0
227.1025_7.05,227.1025,pHILIC,0,0,0,0,0
150.0583_7.06,150.0583,pHILIC,L-Methionine,C5H11NO2S,C00073,HMDB00696,1
156.0767_7.2,156.0767,pHILIC,C6H9N3O2,C6H9N3O2,NA,NA,4
130.0651_7.25,130.0651,pHILIC,NA,NA,NA,NA,NA
328.1388_7.26,328.1388,pHILIC,N-(1-Deoxy-1-fructosyl)phenylalanine,C15H21NO7,NA,HMDB37846,3
237.0868_7.35,237.0868,pHILIC,C11H12N2O4,C11H12N2O4,NA,NA,4
162.0549_7.44,162.0549,pHILIC,0,0,0,0,0
294.1546_7.54,294.1546,pHILIC,N-(1-Deoxy-1-fructosyl)leucine|N-(1-Deoxy-1-fructosyl)isoleucine,C12H23NO7,NA,HMDB37840|HMDB39780,3
225.1233_7.7,225.1233,pHILIC,0,0,0,0,0
130.05_7.68,130.05,pHILIC,L-Glutamine,NA,C00064,HMDB00641,NA
782.5687_7.69,782.5687,pHILIC,0,0,0,0,0
130.0864_7.73,130.0864,pHILIC,L-Pipecolic acid,C6H11NO2,C00408,HMDB00070,1
380.095_7.76,380.095,pHILIC,0,0,0,0,0
390.1053_7.9,390.1053,pHILIC,0,0,0,0,0
782.5679_7.95,782.5679,pHILIC,0,0,0,0,0
165.1023_7.96,165.1023,pHILIC,0,0,0,0,0
116.0707_8.01,116.0707,pHILIC,L-Proline,C5H9NO2,C00148,HMDB00162,1
120.0655_8.08,120.0655,pHILIC,L-Threonine,C4H9NO3,C00188,HMDB00167,1
141.0658_8.09,141.0658,pHILIC,Methylimidazoleacetic acid|Imidazolepropionic acid,C6H8N2O2,C05828|C20522,HMDB02820|HMDB02271,1
173.0921_8.1,173.0921,pHILIC,C7H12N2O3,C7H12N2O3,NA,NA,4
204.1231_8.18,204.1231,pHILIC,C2:0 AC (L-Acetylcarnitine),C9H17NO4,C02571,HMDB00201,1
205.1263_8.18,205.1263,pHILIC,NA,NA,NA,NA,NA
253.0818_8.56,253.0818,pHILIC,0,0,0,0,0
199.1077_8.59,199.1077,pHILIC,0,0,0,0,0
162.0761_8.62,162.0761,pHILIC,Hexosamine,NA,NA,NA,NA
187.1077_8.69,187.1077,pHILIC,0,0,0,0,0
130.0499_9.38,130.0499,pHILIC,L-Glutamine,NA,C00064,HMDB00641,NA
720.0148_9.54,720.0148,pHILIC,0,0,0,0,0
273.0432_9.64,273.0432,pHILIC,"5-(Hydroxyphenyl)-gamma-valerolactone-O-sulphate|2-(2-chloropyridin-4-yl)-4-methyl-1H-isoindole-1,3(2H)-dione",C14H9ClN2O2|C11H12O6S,|,HMDB59993|,NA
266.0976_9.84,266.0976,pHILIC,Streptozocin|Streptozocin,NA,C07313|,HMDB14572|,NA
159.0764_10.24,159.0764,pHILIC,0,0,0,0,0
130.0499_10.59,130.0499,pHILIC,L-Glutamine,NA,C00064,HMDB00641,NA
114.055_10.64,114.055,pHILIC,0,0,0,0,0
375.0079_10.87,375.0079,pHILIC,"C6:0,DC AC",C14H20Br2N2,NA,HMDB61677,NA
339.035_10.97,339.035,pHILIC,0,0,0,0,0
189.0871_11.19,189.0871,pHILIC,C7H12N2O4(3),C7H12N2O4,NA,NA,4
205.1183_11.67,205.1183,pHILIC,N6-Carboxymethyllysine,C8H16N2O4,NA,HMDB0240347,3
473.1488_11.84,473.1488,pHILIC,C16H26N4O11,C16H26N4O11,NA,NA,4
419.177_11.95,419.177,pHILIC,0,0,0,0,0
276.1555_12.31,276.1555,pHILIC,L-a-glutamyl-L-Lysine,C11H21N3O5,C04700,HMDB04207,2
156.0768_12.56,156.0768,pHILIC,L-Histidine|L-2-Amino-3-(1-pyrazolyl)propanoic acid|L-Histidine,C6H9N3O2,C00135||,HMDB00177|HMDB34267|,NA
429.0215_11.99,429.0215,pHILIC,0,0,0,0,0
399.1444_13.83,399.1444,pHILIC,Dulxanthone E|5'-Methoxycurcumin,C22H22O7,|,HMDB34030|HMDB38921,NA
280.1389_14.18,280.1389,pHILIC,0,0,0,0,0
280.1389_14.51,280.1389,pHILIC,0,0,0,0,0
280.1392_14.69,280.1392,pHILIC,0,0,0,0,0
174.1242_15.4,174.1242,pHILIC,NA,NA,NA,NA,NA
99.0917_16.24,99.0917,pHILIC,C5H10N2,C5H10N2,NA,NA,4
147.1129_16.19,147.1129,pHILIC,L-Lysine,C6H14N2O2,C00047,HMDB00182,1
133.0972_16.45,133.0972,pHILIC,Ornithine,C5H12N2O2,C00077,HMDB03374,1
487.2132_17.15,487.2132,pHILIC,Glucosylgalactosyl hydroxylysine,C18H34N2O13,NA,HMDB00585,3
235.0925_11.24,235.0925,pHILIC,C8H14N2O6,C8H14N2O6,NA,NA,4
293.098_11.22,293.098,pHILIC,EDTA(1),C10H16N2O8,C00284,HMDB15109,3
156.0768_10.67,156.0768,pHILIC,L-Histidine,NA,C00135,HMDB00177,NA
259.1134_10.68,259.1134,pHILIC,0,0,0,0,0
258.1102_10.68,258.1102,pHILIC,Glycerophosphocholine,C8H20NO6P,C00670,HMDB00086,1
160.0605_10.64,160.0605,pHILIC,EDTA,C6H9NO4,C00284,HMDB15109,NA
371.0751_10.63,371.0751,pHILIC,0,0,0,0,0
278.0804_10.23,278.0804,pHILIC,0,0,0,0,0
143.0816_10.23,143.0816,pHILIC,Ectoine,C6H10N2O2,C06231,NA,1
339.0513_10.21,339.0513,pHILIC,0,0,0,0,0
156.0421_9.3,156.0421,pHILIC,0,C3H10NO4P,0,0,NA
287.0638_8.84,287.0638,pHILIC,0,0,0,0,0
238.0935_8.88,238.0935,pHILIC,0,0,0,0,0
249.1081_8.73,249.1081,pHILIC,gamma-glutamylthreonine,C9H16N2O6,NA,HMDB29159,3
278.1233_8.62,278.1233,pHILIC,N-(1-Deoxy-1-fructosyl)proline,C11H19NO7,NA,HMDB38493,3
203.0856_8.51,203.0856,pHILIC,0,0,0,0,0
202.0822_8.55,202.0822,pHILIC,0,0,0,0,0
190.1267_8.46,190.1267,pHILIC,0,0,0,0,0
179.1543_8.41,179.1543,pHILIC,0,0,0,0,0
240.0976_8.33,240.0976,pHILIC,0,0,0,0,0
130.0499_8.17,130.0499,pHILIC,L-Glutamine,NA,C00064,HMDB00641,NA
380.2558_8,380.2558,pHILIC,C18 Sphingosine 1-phosphate,C18H38NO5P,C06124,HMDB00277,2
211.1077_7.96,211.1077,pHILIC,0,0,0,0,0
159.0765_7.94,159.0765,pHILIC,0,0,0,0,0
132.0656_7.94,132.0656,pHILIC,Hydroxyproline,C5H9NO3,C04397,HMDB02113,1
233.0632_7.92,233.0632,pHILIC,0,0,0,0,0
234.077_7.91,234.077,pHILIC,C7H18NO4S,C7H18NO4S,NA,NA,4
206.0811_7.91,206.0811,pHILIC,0,0,0,0,0
187.0713_7.9,187.0713,pHILIC,0,0,0,0,0
258.1195_7.89,258.1195,pHILIC,0,0,0,0,0
579.1504_7.89,579.1504,pHILIC,0,0,0,0,0
123.0441_7.89,123.0441,pHILIC,L-Tyrosine,C7H6O2,C00082,HMDB00158,NA
495.0752_7.84,495.0752,pHILIC,0,0,0,0,0
173.0921_7.83,173.0921,pHILIC,C7H12N2O3,C7H12N2O3,NA,NA,4
162.0761_7.79,162.0761,pHILIC,Hexosamine,C6H11NO4,NA,NA,NA
178.0533_7.8,178.0533,pHILIC,Alliin,C6H11NO3S,C08265,HMDB33592,3
97.0285_7.79,97.0285,pHILIC,0,C5H4O2,0,0,NA
145.0496_7.79,145.0496,pHILIC,L-Acetylcarnitine,C6H8O4,C02571,HMDB00201,NA
100.0757_7.75,100.0757,pHILIC,0,0,0,0,0
428.168_7.74,428.168,pHILIC,0,0,0,0,0
152.0706_7.69,152.0706,pHILIC,Paracetamol,C8H9NO2,NA,NA,2
160.0969_7.68,160.0969,pHILIC,Betonicine,C7H13NO3,C08269,HMDB29412,3
208.0638_7.65,208.0638,pHILIC,N-acetylmethionine sulfoxide,C7H13NO4S,NA,HMDB0240343,3
234.0872_7.61,234.0872,pHILIC,0,0,0,0,0
187.1077_7.6,187.1077,pHILIC,0,0,0,0,0
213.1233_7.42,213.1233,pHILIC,NA,NA,NA,NA,NA
118.0863_7.22,118.0863,pHILIC,Betaine,C5H11NO2,C00719,HMDB00043,1
185.1285_7.01,185.1285,pHILIC,0,0,0,0,0
146.06_6.71,146.06,pHILIC,L-Tryptophan,C9H7NO,C00078,HMDB00929,NA
188.0706_6.69,188.0706,pHILIC,Trypophan Fragment,NA,C09213,HMDB61115,NA
281.1496_6.21,281.1496,pHILIC,0,0,0,0,0
166.0863_6.18,166.0863,pHILIC,L-Phenylalanine,C9H11NO2,C00079,HMDB00159,1
144.0807_6.18,144.0807,pHILIC,L-Phenylalanine,C10H9N,C00079,HMDB00159,NA
412.2844_6.11,412.2844,pHILIC,0,0,0,0,0
510.3551_5.88,510.3551,pHILIC,LysoPC(17:0),C25H52NO7P,C04230,HMDB12108,2
284.1855_5.97,284.1855,pHILIC,0,0,0,0,0
546.3545_5.83,546.3545,pHILIC,LysoPC(20:3),C28H52NO7P,C04230,HMDB10393,2
442.3523_5.75,442.3523,pHILIC,"C18:1,OH AC (Hydroxyoleoylcarnitine)",C25H47NO5,NA,HMDB13339,2
478.2926_5.72,478.2926,pHILIC,LysoPE(18:2),C23H44NO7P,NA,HMDB11477,2
265.1182_5.69,265.1182,pHILIC,Alpha-N-Phenylacetyl-L-glutamine,C13H16N2O4,C04148,HMDB06344,2
882.6033_5.19,882.6033,pHILIC,0,0,0,0,0
911.5599_5.17,911.5599,pHILIC,0,0,0,0,0
706.5377_4.97,706.5377,pHILIC,Lipids PC(30:0),NA,0,0,NA
788.6131_4.87,788.6131,pHILIC,PC(36:1),NA,0,0,NA
796.6216_4.82,796.6216,pHILIC,PC(38:3),NA,0,0,NA
838.6307_4.81,838.6307,pHILIC,PC(38:4),NA,0,0,NA
792.591_4.83,792.591,pHILIC,0,0,0,0,0
794.6059_4.8,794.6059,pHILIC,0,0,0,0,0
852.6814_4.77,852.6814,pHILIC,0,0,0,0,0
746.5701_4.76,746.5701,pHILIC,Lipids PC(33:1),NA,NA,NA,NA
788.6129_4.7,788.6129,pHILIC,PC(36:1),NA,0,0,NA
864.6233_4.62,864.6233,pHILIC,0,0,0,0,0
832.5855_4.63,832.5855,pHILIC,0,0,0,0,0
824.652_4.62,824.652,pHILIC,PC(40:3),NA,0,0,NA
892.6534_4.63,892.6534,pHILIC,0,0,0,0,0
732.5539_4.37,732.5539,pHILIC,Lipids PC(32:1),C40H78NO8P,NA,NA,NA
744.5544_4.45,744.5544,pHILIC,Lipids PC(33:2),NA,NA,NA,NA
856.5823_4.36,856.5823,pHILIC,PC(44:9),NA,NA,NA,NA
778.5737_4.31,778.5737,pHILIC,0,0,0,0,0
760.5842_4.29,760.5842,pHILIC,PC(34:1),NA,0,0,NA
153.1274_1.08,153.1274,pHILIC,0,0,0,0,0
179.143_1.1,179.143,pHILIC,0,0,0,0,0
185.1285_1.11,185.1285,pHILIC,0,0,0,0,0
181.1587_1.3,181.1587,pHILIC,0,NA,0,0,NA
199.1692_1.07,199.1692,pHILIC,NA,NA,NA,NA,NA
158.0601_1.04,158.0601,pHILIC,0,0,0,0,0
366.2485_0.94,366.2485,pHILIC,0,0,0,0,0
97.0648_0.95,97.0648,pHILIC,0,0,0,0,0
137.0961_0.95,137.0961,pHILIC,0,0,0,0,0
111.0805_0.95,111.0805,pHILIC,0,0,0,0,0
130.0611_1.67,130.0611,pHILIC,C4H7N3O2,C4H7N3O2,NA,NA,4
500.2643_0.94,500.2643,pHILIC,0,0,0,0,0
300.2897_0.96,300.2897,pHILIC,Sphingosine,C18H37NO2,C00319,HMDB00252,2
232.118_1.83,232.118,pHILIC,C10H17NO5,NA,NA,NA,NA
253.1645_0.96,253.1645,pHILIC,0,0,0,0,0
187.0866_0.96,187.0866,pHILIC,0,0,0,0,0
290.1961_0.9,290.1961,pHILIC,0,0,0,0,0
512.5035_0.91,512.5035,pHILIC,0,0,0,0,0
387.3247_0.92,387.3247,pHILIC,0,0,0,0,0
220.1695_0.93,220.1695,pHILIC,0,0,0,0,0
263.0914_0.93,263.0914,pHILIC,0,0,0,0,0
258.2063_0.94,258.2063,pHILIC,0,0,0,0,0
111.0441_0.94,111.0441,pHILIC,0,0,0,0,0
109.1012_0.94,109.1012,pHILIC,0,0,0,0,0
141.091_0.94,141.091,pHILIC,0,0,0,0,0
173.071_0.94,173.071,pHILIC,0,0,0,0,0
322.1762_0.94,322.1762,pHILIC,0,0,0,0,0
167.1067_0.94,167.1067,pHILIC,0,0,0,0,0
99.0804_0.94,99.0804,pHILIC,0,0,0,0,0
153.091_0.94,153.091,pHILIC,0,0,0,0,0
422.2749_0.95,422.2749,pHILIC,0,0,0,0,0
135.0804_0.96,135.0804,pHILIC,0,0,0,0,0
114.0914_0.96,114.0914,pHILIC,0,0,0,0,0
221.0921_0.97,221.0921,pHILIC,0,0,0,0,0
211.1692_0.98,211.1692,pHILIC,0,0,0,0,0
429.3725_0.99,429.3725,pHILIC,0,0,0,0,0
174.055_1.02,174.055,pHILIC,C10H7NO2,C10H7NO2,NA,NA,4
561.2593_1.05,561.2593,pHILIC,0,0,0,0,0
206.1387_1.07,206.1387,pHILIC,0,0,0,0,0
133.0859_1.08,133.0859,pHILIC,NA,NA,NA,NA,NA
133.1012_1.09,133.1012,pHILIC,0,0,0,0,0
161.0709_1.09,161.0709,pHILIC,0,0,0,0,0
143.1067_1.09,143.1067,pHILIC,0,0,0,0,0
322.1288_1.09,322.1288,pHILIC,0,0,0,0,0
146.06_1.1,146.06,pHILIC,NA,NA,NA,NA,NA
325.2161_1.11,325.2161,pHILIC,0,0,0,0,0
810.6816_1.13,810.6816,pHILIC,0,0,0,0,0
784.6655_1.14,784.6655,pHILIC,0,0,0,0,0
199.1489_1.17,199.1489,pHILIC,0,0,0,0,0
111.0554_1.35,111.0554,pHILIC,Imidazole-4-acetaldehyde|Methoxypyrazine|3-Hydroxy-4-aminopyridine,NA,C05130||,HMDB03905|HMDB33156|HMDB60741,NA
202.2165_1.49,202.2165,pHILIC,0,0,0,0,0
144.0655_1.63,144.0655,pHILIC,0,0,0,0,0
161.092_1.67,161.092,pHILIC,N-carbamoylvaline,C6H12N2O3,NA,NA,3
144.0654_1.67,144.0654,pHILIC,0,0,0,0,0
86.06_1.77,86.06,pHILIC,0,0,0,0,0
217.1069_1.78,217.1069,pHILIC,0,0,0,0,0
230.1184_1.85,230.1184,pHILIC,0,0,0,0,0
149.0709_1.9,149.0709,pHILIC,0,0,0,0,0
163.1482_1.91,163.1482,pHILIC,0,0,0,0,0
577.4827_1.95,577.4827,pHILIC,"DG(15:0/18:3(6Z,9Z,12Z)/0:0)|DG(15:0/18:3(9Z,12Z,15Z)/0:0)|DG(18:3(6Z,9Z,12Z)/15:0/0:0)|DG(18:3(9Z,12Z,15Z)/15:0/0:0)|DG(15:0/0:0/18:3n6)|DG(15:0/0:0/18:3n3)|DG(14:1n5/0:0/18:2n6)|DG(14:1n5/0:0/20:2n6)",C36H64O5,0,0,NA
299.2579_1.98,299.2579,pHILIC,"3-Oxooctadecanoic acid|9-Oxooctadecanoic acid|10-Oxooctadecanoic acid|11-Oxooctadecanoic acid|5-Hexyltetrahydro-2-furanoctanoic acid|5-Oxooctadecanoic acid|Ricinoleic acid|9,10-epoxyoctadecanoic acid|Ricinoleic Acid",C18H34O3,||||||C08365||,HMDB10736|HMDB30979|HMDB30980|HMDB30981|HMDB31127|HMDB34074|HMDB34297|HMDB61650|,NA
146.0812_1.98,146.0812,pHILIC,0,C6H11NO3,0,0,NA
181.1586_2.1,181.1586,pHILIC,0,0,0,0,0
776.5586_2.19,776.5586,pHILIC,Lipids PE(P-40:6)(1),C45H78NO7P,NA,NA,NA
597.5093_2.21,597.5093,pHILIC,0,NA,0,0,NA
207.1743_2.24,207.1743,pHILIC,NA,NA,NA,NA,NA
225.1848_2.25,225.1848,pHILIC,0,0,0,0,0
144.0655_2.27,144.0655,pHILIC,0,0,0,0,0
283.1035_2.31,283.1035,pHILIC,Methylinosine,C11H14N4O5,NA,HMDB02721,3
463.3413_2.32,463.3413,pHILIC,C28H46O5,C28H46O5,NA,NA,4
540.5346_2.32,540.5346,pHILIC,0,0,0,0,0
185.1172_2.35,185.1172,pHILIC,0,0,0,0,0
413.2068_2.38,413.2068,pHILIC,0,0,0,0,0
268.1039_2.45,268.1039,pHILIC,Adenosine,C10H13N5O4,C00212 ,HMDB00050,1
134.0599_2.49,134.0599,pHILIC,Oxindole,C8H7NO,C12312,NA,2
724.527_2.55,724.527,pHILIC,Lipids PE(P-36:4),C41H74NO7P,0,0,NA
151.0614_2.6,151.0614,pHILIC,"1-Methylhypoxanthine |Diisopropyl disulfide|Methyl pentyl disulfide|Dipropyl disulfide|1,6-Hexanedithiol|Butyl ethyl disulfide|Methyl isopentyl disulfide|xi-1-(Propylthio)-1-propanethiol|Isopropyl propyl disulfide|7-Deazaguanine",C6H14S2|C6H14S2|C6H14S2|C6H14S2|C6H14S2|C6H14S2|C6H14S2|C6H14S2|C6H6N4O|C6H6N4O,|||C08373||||||,HMDB13141|HMDB29578|HMDB31161|HMDB31472|HMDB31709|HMDB32180|HMDB32408|HMDB40056||,NA
179.1178_2.6,179.1178,pHILIC,0,0,0,0,0
563.4283_2.6,563.4283,pHILIC,NA,NA,NA,NA,NA
301.1182_2.62,301.1182,pHILIC,C16H16N2O4(1),C16H16N2O4,NA,NA,4
195.1379_2.64,195.1379,pHILIC,0,0,0,0,0
125.0597_2.75,125.0597,pHILIC,0,0,0,0,0
178.1225_3.05,178.1225,pHILIC,C11H15NO,C11H15NO,NA,NA,4
181.0527_3.17,181.0527,pHILIC,Methylthioribose,C6H12O4S,C03089 ,HMDB01087,3
257.1129_3.18,257.1129,pHILIC,C11H16N2O5,C11H16N2O5,NA,NA,4
312.1299_3.27,312.1299,pHILIC,"N2,N2-Dimethylguanosine",C12H17N5O5,NA,HMDB04824,1
189.0658_3.45,189.0658,pHILIC,0,0,0,0,0
166.0723_3.46,166.0723,pHILIC,7-Methylguanine,C6H7N5O,C02242,HMDB00897,1
742.5376_3.61,742.5376,pHILIC,Lipids ,C41H76NO8P,0,0,NA
728.5588_3.72,728.5588,pHILIC,Lipids PE(P-36:2),C41H78NO7P,NA,NA,NA
302.3052_3.76,302.3052,pHILIC,0,0,0,0,0
475.2074_3.78,475.2074,pHILIC,0,0,0,0,0
279.1702_3.84,279.1702,pHILIC,0,0,0,0,0
219.1743_3.95,219.1743,pHILIC,0,0,0,0,0
796.5856_4.11,796.5856,pHILIC,Lipids PC(35:4),NA,0,0,NA
794.5672_4.14,794.5672,pHILIC,0,0,0,0,0
117.1023_4.2,117.1023,pHILIC,0,0,0,0,0
302.1961_4.21,302.1961,pHILIC,0,0,0,0,0
786.5042_4.23,786.5042,pHILIC,0,0,0,0,0
245.1859_4.24,245.1859,pHILIC,C12H24N2O3(1),C12H24N2O3,NA,NA,4
748.5272_4.27,748.5272,pHILIC,Lipids PC(O-38:7),NA,NA,NA,NA
